,-1,0,1,2
"[-51.0, 49.0, 50.0, -1.0]",-77.520371399,-39.5823901214,-35.1608162482,-69.3573951098
"[4.0, 40.0, 24.0, 16.0]",-63.9660611767,-34.7155337477,-41.3546578115,-68.4439950682
"[25.0, 51.0, 1.0, 50.0]",-46.5755290334,-35.424830488,-41.9299465499,-66.4010870615
"[10.0, 25.0, 14.0, 11.0]",-53.2562192267,-34.0729248702,-29.504904885,-64.395289721
"[-35.0, 76.0, 47.0, 29.0]",-52.9061704017,-28.594119202,-15.2324434815,-62.0887458908
"[6.0, 45.0, 37.0, 8.0]",-57.239099779,-26.0289231599,-6.19894110847,-54.7264907395
"[8.0, 29.0, 13.0, 16.0]",-49.0849930119,-18.9929896561,-0.476076085709,-50.3904874548
"[-23.0, 43.0, 36.0, 7.0]",-52.672065725,-17.2303040035,5.76361972308,-47.2005405241
"[-6.0, 39.0, 31.0, 8.0]",-38.2061483789,10.4866336654,-10.2679966548,-41.1781416929
"[14.0, 30.0, 16.0, 14.0]",-38.2114677421,-3.07426198314,14.328710258,-29.4532659591
"[-9.0, 40.0, 9.0, 31.0]",-33.141615169,-1.56469772814,18.9226604997,-21.3470106418
"[17.0, 27.0, 9.0, 18.0]",-6.42061974058,9.01900037668,19.5572301038,-9.25982329473
"[20.0, 30.0, 13.0, 17.0]",-11.678312738,27.3015961346,0.212268262508,-13.6420339961
"[19.0, 37.0, 12.0, 25.0]",4.12617803082,33.6469027109,10.9261955366,4.64514586336
"[43.0, 51.0, 7.0, 44.0]",96.8439376921,2.28669125616,-3.66748008962,4.86981071942
"[29.0, 30.0, 5.0, 25.0]",57.249496285,7.99348397408,7.42203703768,6.16467437787
"[-25.0, 47.0, 23.0, 24.0]",69.3130788142,2.68992366755,0.797542566465,1.87893701125
"[37.0, 53.0, 3.0, 50.0]",9.7964996503,82.7714392972,8.50569366859,3.22050965886
"[-10.0, 32.0, 25.0, 7.0]",5.43027665926,13.1064009437,99.5370099267,17.11166291
"[-50.0, 39.0, 47.0, -8.0]",18.3887710256,77.3963551151,8.42747966588,22.7080039151
"[12.0, 31.0, 9.0, 22.0]",87.7564416081,3.09412082736,-5.16233741872,16.9946848499
"[29.0, 18.0, -1.0, 19.0]",21.3121244166,-1.89803296053,-11.5818722538,-5.34348806707
"[8.0, 27.0, 4.0, 23.0]",17.7400104675,-3.11694769964,-7.92949459789,-6.54250206983
"[-1.0, 23.0, 15.0, 8.0]",1.35798558267,-1.64683706129,19.1888832798,-5.2305996322
"[-11.0, 21.0, 15.0, 6.0]",6.17771553055,21.071144419,1.13734919739,-6.03386809014
"[8.0, 42.0, 2.0, 40.0]",19.2890264335,-10.4515251981,-8.54689166075,-9.77996486403
"[13.0, 35.0, 17.0, 18.0]",-8.4421660058,-9.00652842537,-8.70404761992,9.62955929292
"[-16.0, 23.0, 11.0, 12.0]",-7.39728626389,17.0446958997,-5.80720485029,-4.22073878551
"[-31.0, 36.0, 21.0, 15.0]",25.4543279564,0.255392656789,1.81699456642,0.750918246908
"[12.0, 23.0, 2.0, 21.0]",6.7540229829,4.60136823423,34.3610733047,6.62293807531
"[-19.0, 39.0, 24.0, 15.0]",9.4689313739,10.2613065706,39.3418678032,7.99387631895
"[4.0, 33.0, 15.0, 18.0]",46.9890299041,10.1185169388,8.21137713836,9.40416806815
"[24.0, 22.0, 0.0, 22.0]",-1.47272443771,2.11014560985,49.7807364934,13.7267550734
"[-14.0, 18.0, 13.0, 5.0]",-2.85725701973,3.55313398831,22.7707334978,-0.0748440082766
"[-7.0, 20.0, 17.0, 3.0]",-2.47812183033,23.378638097,2.03949146129,-3.00758531232
"[-6.0, 16.0, 6.0, 10.0]",-1.30796961117,2.36403057336,27.3881794387,-1.6773997362
"[8.0, 19.0, 6.0, 13.0]",-2.4023048323,0.83029698322,32.5130298974,-1.65569970486
"[1.0, 25.0, 10.0, 15.0]",39.3737696162,3.30879083131,-15.6753572014,-11.7331686556
"[3.0, 30.0, 23.0, 7.0]",2.74473454855,4.905050109,139.059194769,14.0148282891
