,0,1,2
"[[47, 42, 5, '1.005', '1.122'], [47, 42, 5, '1.005', '1.122'], [47, 42, 5, '1.005', '1.122'], [47, 42, 5, '1.005', '1.122'], [47, 42, 5, '1.005', '1.122']]",6.75654430673,13.9647171387,8.84240680725
"[[72, 6, 66, '0.992', '0.727'], [72, 6, 66, '0.992', '0.727'], [72, 6, 66, '0.992', '0.727'], [72, 6, 66, '0.992', '0.727'], [72, 6, 66, '0.992', '0.727']]",6.91822073355,13.7539081164,8.0592597519
"[[34, 20, 14, '0.996', '0.957'], [34, 20, 14, '0.996', '0.957'], [34, 20, 14, '0.996', '0.957'], [34, 20, 14, '0.996', '0.957'], [34, 20, 14, '0.996', '0.957']]",6.94401234329,13.3248408414,8.53203354395
"[[34, 13, 21, '0.998', '1.449'], [34, 13, 21, '0.998', '1.449'], [34, 13, 21, '0.998', '1.449'], [34, 13, 21, '0.998', '1.449'], [34, 13, 21, '0.998', '1.449']]",7.09651081198,12.9911895933,8.81760316733
"[[60, 8, 52, '0.987', '0.675'], [60, 8, 52, '0.987', '0.675'], [60, 8, 52, '0.987', '0.675'], [60, 8, 52, '0.987', '0.675'], [60, 8, 52, '0.987', '0.675']]",6.38526947621,12.8521326018,8.52092787966
"[[53, 13, 40, '0.983', '0.859'], [53, 13, 40, '0.983', '0.859'], [53, 13, 40, '0.983', '0.859'], [53, 13, 40, '0.983', '0.859'], [53, 13, 40, '0.983', '0.859']]",6.3351619027,12.7006900329,7.9736867286
"[[107, 105, 2, '0.997', '0.684'], [107, 105, 2, '0.997', '0.684'], [107, 105, 2, '0.997', '0.684'], [107, 105, 2, '0.997', '0.684'], [107, 105, 2, '0.997', '0.684']]",6.64107218881,12.5166975724,7.90845699631
"[[77, 10, 67, '0.992', '1.149'], [77, 10, 67, '0.992', '1.149'], [77, 10, 67, '0.992', '1.149'], [77, 10, 67, '0.992', '1.149'], [77, 10, 67, '0.992', '1.149']]",6.37233858161,12.2277248927,7.78371517993
"[[39, 15, 24, '0.99', '1.19'], [39, 15, 24, '0.99', '1.19'], [39, 15, 24, '0.99', '1.19'], [39, 15, 24, '0.99', '1.19'], [39, 15, 24, '0.99', '1.19']]",6.48344632289,11.0677413013,9.33636391225
"[[33, 21, 12, '0.99', '1.285'], [33, 21, 12, '0.99', '1.285'], [33, 21, 12, '0.99', '1.285'], [33, 21, 12, '0.99', '1.285'], [33, 21, 12, '0.99', '1.285']]",6.54254698034,11.1753236498,8.27457664823
"[[58, 59, -1, '1.0', '1.641'], [58, 59, -1, '1.0', '1.641'], [58, 59, -1, '1.0', '1.641'], [58, 59, -1, '1.0', '1.641'], [58, 59, -1, '1.0', '1.641']]",6.76884775136,11.0274744465,8.06262652713
"[[65, -5, 70, '0.992', '0.874'], [65, -5, 70, '0.992', '0.874'], [65, -5, 70, '0.992', '0.874'], [65, -5, 70, '0.992', '0.874'], [65, -5, 70, '0.992', '0.874']]",6.44303474948,10.8414847011,8.96983149032
"[[65, 36, 29, '0.979', '0.76'], [65, 36, 29, '0.979', '0.76'], [65, 36, 29, '0.979', '0.76'], [65, 36, 29, '0.979', '0.76'], [65, 36, 29, '0.979', '0.76']]",7.21449862061,10.8274011086,9.84317960201
"[[44, 13, 31, '0.978', '1.201'], [44, 13, 31, '0.978', '1.201'], [44, 13, 31, '0.978', '1.201'], [44, 13, 31, '0.978', '1.201'], [44, 13, 31, '0.978', '1.201']]",7.35784021943,11.2622873287,9.57634597126
"[[30, 10, 20, '0.98', '1.377'], [30, 10, 20, '0.98', '1.377'], [30, 10, 20, '0.98', '1.377'], [30, 10, 20, '0.98', '1.377'], [30, 10, 20, '0.98', '1.377']]",7.98001393571,11.262747197,10.7212744536
"[[49, 14, 35, '0.979', '1.259'], [49, 14, 35, '0.979', '1.259'], [49, 14, 35, '0.979', '1.259'], [49, 14, 35, '0.979', '1.259'], [49, 14, 35, '0.979', '1.259']]",8.19954628557,11.9998177721,9.67982214278
"[[112, 5, 107, '0.969', '0.693'], [112, 5, 107, '0.969', '0.693'], [112, 5, 107, '0.969', '0.693'], [112, 5, 107, '0.969', '0.693'], [112, 5, 107, '0.969', '0.693']]",9.04543153836,11.9851029966,11.041161223
"[[74, 64, 10, '0.984', '0.832'], [74, 64, 10, '0.984', '0.832'], [74, 64, 10, '0.984', '0.832'], [74, 64, 10, '0.984', '0.832'], [74, 64, 10, '0.984', '0.832']]",9.58349196899,12.7912083491,10.0774395421
"[[33, 6, 27, '0.982', '1.767'], [33, 6, 27, '0.982', '1.767'], [33, 6, 27, '0.982', '1.767'], [33, 6, 27, '0.982', '1.767'], [33, 6, 27, '0.982', '1.767']]",10.5481706044,12.0500269395,11.4594493945
"[[39, 22, 17, '0.986', '1.569'], [39, 22, 17, '0.986', '1.569'], [39, 22, 17, '0.986', '1.569'], [39, 22, 17, '0.986', '1.569'], [39, 22, 17, '0.986', '1.569']]",10.640291636,12.7413068024,10.506890836
